model,b1,a_b,b1_v_h,b2,b2_v_h,f_b,l_r
m1,gs,a,.,yl,v,0,0
m1,yl,a,v,bl,h,0,0
m1,bl,a,h,gl,v,0,1
m1,bl,a,h,bs,.,-1,-1
m1,bl,a,h,ys,.,1,-1
m2,gs,a,.,ys,.,0,-1
m2,ys,a,.,bl,v,1,0
m2,bs,a,.,bl,v,-1,0
m2,bl,a,v,gl,h,0,-2
m2,bl,a,v,yl,v,0,1
m3,gl,a,v,yl,h,0,-1
m3,yl,a,h,gs,.,1,2
m3,yl,a,h,bs,.,-1,2
m3,yl,a,h,bl,v,0,0
m3,yl,a,h,ys,.,-1,-2
m4,bl,a,h,ys,.,0,-2
m4,bl,a,h,bs,.,0,0
m4,ys,a,.,yl,v,1,1
m4,bs,a,.,yl,v,1,-1
m4,gs,a,.,yl,v,-1,-1
m4,gs,a,.,gl,v,-1,1
m4,bs,a,.,gl,v,1,1
m5,rs,a,.,gl,v,1,0
m5,bs,a,.,gl,v,-1,0
m5,gl,a,v,yl,v,0,-1
m5,gl,a,v,bl,h,0,2
m5,yl,a,v,rl,h,-1,1
m5,yl,a,v,.,ys,1,0
m5,bl,a,h,rl,h,-1,-2
m5,bl,a,h,gs,.,1,-1
m6,rl,a,h,bl,v,1,1
m6,rl,a,h,rs,.,1,-1
m6,bs,a,.,rs,.,-1,0
m6,gs,a,.,bl,v,-1,0
m6,bl,a,v,yl,v,0,-1
m6,rs,a,.,yl,v,0,1
m6,yl,a,v,ys,.,-1,0
m6,yl,a,v,gl,h,1,0
m7,rl,a,h,ys,.,0,-2
m7,rs,a,.,bl,h,0,-1
m7,gl,a,v,ys,.,-1,1
m7,gl,a,v,bl,h,1,1
m7,ys,a,.,bs,.,0,-1
m7,ys,a,.,yl,v,1,1
m7,bl,a,h,gs,.,0,-1
m7,bl,a,h,yl,v,-1,1
m8,ys,a,.,bs,.,0,0
m8,bs,a,.,bl,v,1,0
m8,yl,a,h,bl,v,-1,-1
m8,yl,a,h,gs,.,0,1
m8,bl,a,v,gl,h,-1,1
m8,bl,a,v,rs,.,1,-1
m8,bl,a,v,rl,v,2,1
m8,gs,a,.,rl,v,1,-1
